timestamp,voltage,current,power_factor
2024-01-15T00:00:00,230.0,14.1,0.95
2024-01-15T00:00:10,230.0,13.38,0.95
2024-01-15T00:00:20,230.0,12.8,0.95
2024-01-15T00:00:30,230.0,12.34,0.95
2024-01-15T00:00:40,230.0,11.97,0.95
2024-01-15T00:00:50,230.0,11.68,0.95
2024-01-15T00:01:00,230.0,11.44,0.95
2024-01-15T00:01:10,230.0,11.25,0.95
2024-01-15T00:01:20,230.0,11.36,0.95
2024-01-15T00:01:30,230.0,11.19,0.95
2024-01-15T00:01:40,230.0,11.03,0.95
2024-01-15T00:01:50,230.0,10.48,0.95
2024-01-15T00:02:00,230.0,10.48,0.95
2024-01-15T00:02:10,230.0,10.1,0.95
2024-01-15T00:02:20,229.8,10.18,0.95
2024-01-15T00:02:30,230.0,10.24,0.95
2024-01-15T00:02:40,230.0,10.29,0.95
2024-01-15T00:02:50,230.0,10.3,0.95
2024-01-15T00:03:00,230.0,10.34,0.95
2024-01-15T00:03:10,230.0,10.37,0.95
2024-01-15T00:03:20,230.0,10.4,0.95
2024-01-15T00:03:30,230.0,10.42,0.95
2024-01-15T00:03:40,230.0,10.44,0.95
2024-01-15T00:03:50,230.0,10.45,0.95
2024-01-15T00:04:00,230.0,10.46,0.95
2024-01-15T00:04:10,230.0,10.76,0.95
2024-01-15T00:04:20,230.0,10.76,0.95
2024-01-15T00:04:30,230.0,10.71,0.95
2024-01-15T00:04:40,230.0,10.49,0.95
2024-01-15T00:04:50,230.0,10.49,0.95
2024-01-15T00:05:00,230.0,10.49,0.95
2024-01-15T00:05:10,229.8,10.49,0.95
2024-01-15T00:05:20,229.8,10.69,0.95
2024-01-15T00:05:30,230.0,10.99,0.95
2024-01-15T00:05:40,230.0,10.7,0.95
2024-01-15T00:05:50,230.0,10.96,0.95
2024-01-15T00:06:00,230.0,10.87,0.95
2024-01-15T00:06:10,230.0,10.66,0.95
2024-01-15T00:06:20,230.0,10.63,0.95
2024-01-15T00:06:30,230.0,10.6,0.95
2024-01-15T00:06:40,229.9,10.58,0.95
2024-01-15T00:06:50,230.0,10.56,0.95
2024-01-15T00:07:00,230.0,10.33,0.95
2024-01-15T00:07:10,229.8,10.36,0.95
2024-01-15T00:07:20,230.0,10.66,0.95
2024-01-15T00:07:30,229.7,10.63,0.95
2024-01-15T00:07:40,230.0,10.6,0.95
2024-01-15T00:07:50,230.0,10.58,0.95
2024-01-15T00:08:00,230.0,10.56,0.95
2024-01-15T00:08:10,230.0,10.55,0.95
2024-01-15T00:08:20,230.0,10.54,0.95
2024-01-15T00:08:30,230.0,10.58,0.95
2024-01-15T00:08:40,229.1,10.56,0.95
2024-01-15T00:08:50,230.0,10.55,0.95
2024-01-15T00:09:00,230.0,10.59,0.95
2024-01-15T00:09:10,230.0,10.57,0.95
2024-01-15T00:09:20,229.8,10.56,0.95
2024-01-15T00:09:30,230.0,10.55,0.95
2024-01-15T00:09:40,230.0,10.54,0.95
2024-01-15T00:09:50,230.0,10.61,0.95
2024-01-15T00:10:00,230.0,10.59,0.95
2024-01-15T00:10:10,230.0,10.57,0.95
2024-01-15T00:10:20,230.0,10.07,0.95
2024-01-15T00:10:30,230.0,10.16,0.95
2024-01-15T00:10:40,230.1,10.23,0.95
2024-01-15T00:10:50,229.8,10.28,0.95
2024-01-15T00:11:00,230.0,10.32,0.95
2024-01-15T00:11:10,230.0,10.36,0.95
2024-01-15T00:11:20,230.0,10.39,0.95
2024-01-15T00:11:30,230.0,10.41,0.95
2024-01-15T00:11:40,230.0,10.19,0.95
2024-01-15T00:11:50,230.0,10.25,0.95
2024-01-15T00:12:00,230.0,10.6,0.95
2024-01-15T00:12:10,230.0,10.58,0.95
2024-01-15T00:12:20,230.0,10.56,0.95
2024-01-15T00:12:30,230.0,11.03,0.95
2024-01-15T00:12:40,230.1,10.92,0.95
2024-01-15T00:12:50,230.0,10.84,0.95
2024-01-15T00:13:00,230.0,10.57,0.95
2024-01-15T00:13:10,230.0,10.4,0.95
2024-01-15T00:13:20,230.0,10.42,0.95
2024-01-15T00:13:30,230.0,10.44,0.95
2024-01-15T00:13:40,230.0,10.85,0.95
2024-01-15T00:13:50,230.0,10.78,0.95
2024-01-15T00:14:00,230.0,10.72,0.95
2024-01-15T00:14:10,230.0,10.68,0.95
2024-01-15T00:14:20,229.9,10.64,0.95
2024-01-15T00:14:30,230.1,10.13,0.95
2024-01-15T00:14:40,230.0,10.2,0.95
2024-01-15T00:14:50,230.0,10.26,0.95
2024-01-15T00:15:00,229.9,10.31,0.95
2024-01-15T00:15:10,230.0,10.35,0.95
2024-01-15T00:15:20,230.0,9.94,0.95
2024-01-15T00:15:30,230.0,10.14,0.95
2024-01-15T00:15:40,230.0,10.21,0.95
2024-01-15T00:15:50,230.0,10.27,0.95
2024-01-15T00:16:00,230.0,10.02,0.95
2024-01-15T00:16:10,230.0,10.12,0.95
